Date,People_fully_vaccinated
2021-08-11,28993301.0
2021-08-12,29221276.0
2021-08-13,29526380.0
2021-08-14,29526380.0
2021-08-15,29526380.0
2021-08-16,29794008.0
2021-08-17,29968303.0
2021-08-18,30261332.0
2021-08-19,30565129.0
2021-08-20,31096470.0
2021-08-21,31096470.0
2021-08-22,31096470.0
2021-08-23,31447188.0
2021-08-24,31653643.0
2021-08-25,31930874.0
2021-08-26,32239782.0
2021-08-27,32239782.0
2021-08-28,32459380.0
2021-08-29,32459380.0
2021-08-30,32811664.0
2021-08-31,32996436.0
2021-09-01,33376693.0
2021-09-02,33657941.0
2021-09-03,33940053.0
2021-09-04,33940053.0
2021-09-05,33940053.0
2021-09-06,34270593.0
2021-09-07,34418544.0
2021-09-08,34418544.0
2021-09-09,34903802.0
2021-09-10,35070311.0
2021-09-11,35070311.0
2021-09-12,35070311.0
2021-09-13,35300384.0
2021-09-14,35413078.0
2021-09-15,35571661.0
2021-09-16,35688441.0
2021-09-17,35784743.0
2021-09-18,35784743.0
2021-09-19,35784743.0
2021-09-20,36005546.0
2021-09-21,36086354.0
2021-09-22,36184677.0
2021-09-23,36259105.0
2021-09-24,36335711.0
2021-09-25,36335711.0
2021-09-26,36335711.0
2021-09-27,36447564.0
2021-09-28,36501799.0
2021-09-29,36566753.0
2021-09-30,36613575.0
2021-10-01,36667138.0
2021-10-02,36667138.0
2021-10-03,36667138.0
2021-10-04,36745965.0
2021-10-05,36771680.0
2021-10-06,36802767.0
2021-10-07,36802767.0
2021-10-08,36802767.0
2021-10-09,36802767.0
2021-10-10,36867685.0
2021-10-11,36937743.0
2021-10-12,36937743.0
2021-10-13,36961165.0
2021-10-14,36994918.0
2021-10-15,37029165.0
2021-10-16,37029165.0
2021-10-17,37029165.0
2021-10-18,37074146.0
2021-10-19,37086628.0
2021-10-20,37102507.0
2021-10-21,37176352.0
2021-10-22,37199581.0
2021-10-23,37199581.0
2021-10-24,37199581.0
2021-10-25,37234272.0
2021-10-26,37250048.0
2021-10-27,37263047.0
2021-10-28,37282484.0
2021-10-29,37286684.0
2021-10-30,37315511.0
2021-10-31,37315511.0
2021-11-01,37315511.0
2021-11-02,37315511.0
2021-11-03,37347287.0
2021-11-04,37360864.0
2021-11-05,37375642.0
2021-11-06,37375642.0
2021-11-07,37375642.0
2021-11-08,37398246.0
2021-11-09,37398246.0
2021-11-10,37417377.0
2021-11-11,37431385.0
2021-11-12,37431385.0
2021-11-13,37448743.0
2021-11-14,37448743.0
2021-11-15,37474324.0
2021-11-16,37480526.0
2021-11-17,37487833.0
2021-11-18,37507587.0
2021-11-19,37519860.0
2021-11-20,37519860.0
2021-11-21,37519860.0
2021-11-22,37547526.0
2021-11-23,37557243.0
2021-11-24,37567042.0
2021-11-25,37578516.0
2021-11-26,37582174.0
2021-11-27,37582174.0
2021-11-28,37582174.0
2021-11-29,37586582.0
2021-11-30,37615143.0
2021-12-01,37624032.0
2021-12-02,37638438.0
2021-12-03,37638438.0
2021-12-04,37655150.0
2021-12-05,37655150.0
2021-12-06,37655150.0
2021-12-07,37677168.0
2021-12-08,37677168.0
2021-12-09,37684831.0
2021-12-10,37684831.0
2021-12-11,37702839.0
2021-12-12,37702839.0
2021-12-13,37721347.0
2021-12-14,37742102.0
2021-12-15,37755238.0
2021-12-16,37755238.0
2021-12-17,37767016.0
2021-12-18,37777929.0
2021-12-19,37777929.0
2021-12-20,37777929.0
2021-12-21,37799170.0
2021-12-22,37815104.0
2021-12-23,37832328.0
2021-12-24,37832328.0
2021-12-25,37832328.0
2021-12-26,37832328.0
2021-12-27,37853370.0
2021-12-28,37853370.0
2021-12-29,37865247.0
