Date;Mask_Inside;Mask_Outside;Hard_Lockdown;Partial_lockdown;Partial Restrictions
16/04/2020;FALSE;FALSE;TRUE;FALSE;FALSE
17/04/2020;FALSE;FALSE;TRUE;FALSE;FALSE
18/04/2020;FALSE;FALSE;TRUE;FALSE;FALSE
19/04/2020;FALSE;FALSE;TRUE;FALSE;FALSE
20/04/2020;FALSE;FALSE;TRUE;FALSE;FALSE
21/04/2020;FALSE;FALSE;TRUE;FALSE;FALSE
22/04/2020;FALSE;FALSE;TRUE;FALSE;FALSE
23/04/2020;FALSE;FALSE;TRUE;FALSE;FALSE
24/04/2020;FALSE;FALSE;TRUE;FALSE;FALSE
25/04/2020;FALSE;FALSE;TRUE;FALSE;FALSE
26/04/2020;FALSE;FALSE;FALSE;TRUE;FALSE
27/04/2020;FALSE;FALSE;FALSE;TRUE;FALSE
28/04/2020;FALSE;FALSE;FALSE;TRUE;FALSE
29/04/2020;FALSE;FALSE;FALSE;TRUE;FALSE
30/04/2020;FALSE;FALSE;FALSE;TRUE;FALSE
01/05/2020;FALSE;FALSE;FALSE;TRUE;FALSE
02/05/2020;FALSE;FALSE;FALSE;TRUE;FALSE
03/05/2020;FALSE;FALSE;FALSE;TRUE;FALSE
04/05/2020;FALSE;FALSE;FALSE;TRUE;FALSE
05/05/2020;FALSE;FALSE;FALSE;TRUE;FALSE
06/05/2020;FALSE;FALSE;FALSE;TRUE;FALSE
07/05/2020;FALSE;FALSE;FALSE;TRUE;FALSE
08/05/2020;FALSE;FALSE;FALSE;TRUE;FALSE
09/05/2020;FALSE;FALSE;FALSE;TRUE;FALSE
10/05/2020;FALSE;FALSE;FALSE;TRUE;FALSE
11/05/2020;FALSE;FALSE;FALSE;TRUE;FALSE
12/05/2020;FALSE;FALSE;FALSE;TRUE;FALSE
13/05/2020;FALSE;FALSE;FALSE;TRUE;FALSE
14/05/2020;FALSE;FALSE;FALSE;TRUE;FALSE
15/05/2020;FALSE;FALSE;FALSE;TRUE;FALSE
16/05/2020;FALSE;FALSE;FALSE;TRUE;FALSE
17/05/2020;FALSE;FALSE;FALSE;TRUE;FALSE
18/05/2020;FALSE;FALSE;FALSE;TRUE;FALSE
19/05/2020;FALSE;FALSE;FALSE;TRUE;FALSE
20/05/2020;TRUE;TRUE;FALSE;TRUE;FALSE
21/05/2020;TRUE;TRUE;FALSE;TRUE;FALSE
22/05/2020;TRUE;TRUE;FALSE;TRUE;FALSE
23/05/2020;TRUE;TRUE;FALSE;TRUE;FALSE
24/05/2020;TRUE;TRUE;FALSE;TRUE;FALSE
25/05/2020;TRUE;TRUE;FALSE;TRUE;FALSE
26/05/2020;TRUE;TRUE;FALSE;TRUE;FALSE
27/05/2020;TRUE;TRUE;FALSE;TRUE;FALSE
28/05/2020;TRUE;TRUE;FALSE;TRUE;FALSE
29/05/2020;TRUE;TRUE;FALSE;TRUE;FALSE
30/05/2020;TRUE;TRUE;FALSE;TRUE;FALSE
31/05/2020;TRUE;TRUE;FALSE;TRUE;FALSE
01/06/2020;TRUE;TRUE;FALSE;TRUE;FALSE
02/06/2020;TRUE;TRUE;FALSE;TRUE;FALSE
03/06/2020;TRUE;TRUE;FALSE;TRUE;FALSE
04/06/2020;TRUE;TRUE;FALSE;TRUE;FALSE
05/06/2020;TRUE;TRUE;FALSE;TRUE;FALSE
06/06/2020;TRUE;TRUE;FALSE;TRUE;FALSE
07/06/2020;TRUE;TRUE;FALSE;TRUE;FALSE
08/06/2020;TRUE;TRUE;FALSE;TRUE;FALSE
09/06/2020;TRUE;TRUE;FALSE;TRUE;FALSE
10/06/2020;TRUE;TRUE;FALSE;TRUE;FALSE
11/06/2020;TRUE;TRUE;FALSE;TRUE;FALSE
12/06/2020;TRUE;TRUE;FALSE;TRUE;FALSE
13/06/2020;TRUE;TRUE;FALSE;TRUE;FALSE
14/06/2020;TRUE;TRUE;FALSE;TRUE;FALSE
15/06/2020;TRUE;TRUE;FALSE;TRUE;FALSE
16/06/2020;TRUE;TRUE;FALSE;TRUE;FALSE
17/06/2020;TRUE;TRUE;FALSE;TRUE;FALSE
18/06/2020;TRUE;TRUE;FALSE;TRUE;FALSE
19/06/2020;TRUE;TRUE;FALSE;TRUE;FALSE
20/06/2020;TRUE;TRUE;FALSE;TRUE;FALSE
21/06/2020;TRUE;FALSE;FALSE;FALSE;TRUE
22/06/2020;TRUE;FALSE;FALSE;FALSE;TRUE
23/06/2020;TRUE;FALSE;FALSE;FALSE;TRUE
24/06/2020;TRUE;FALSE;FALSE;FALSE;TRUE
25/06/2020;TRUE;FALSE;FALSE;FALSE;TRUE
26/06/2020;TRUE;FALSE;FALSE;FALSE;TRUE
27/06/2020;TRUE;FALSE;FALSE;FALSE;TRUE
28/06/2020;TRUE;FALSE;FALSE;FALSE;TRUE
29/06/2020;TRUE;FALSE;FALSE;FALSE;TRUE
30/06/2020;TRUE;FALSE;FALSE;FALSE;TRUE
01/07/2020;TRUE;FALSE;FALSE;FALSE;TRUE
02/07/2020;TRUE;FALSE;FALSE;FALSE;TRUE
